国家,确诊,治愈,死亡,日期
中国,0.0,0.0,0.0,2020-01-22
中国,0.0,0.0,0.0,2020-01-23
中国,5.0,5.0,0.0,2020-01-24
中国,761.0,761.0,40.0,2020-01-25
中国,68.0,68.0,0.0,2020-01-26
美国,5.0,0.0,0.0,2020-01-27
法国,3.0,0.0,0.0,2020-01-27
加拿大,1.0,0.0,0.0,2020-01-27
新加坡,4.0,0.0,0.0,2020-01-27
日本,4.0,1.0,0.0,2020-01-27
马来西亚,3.0,0.0,0.0,2020-01-27
韩国,4.0,0.0,0.0,2020-01-27
澳大利亚,5.0,0.0,0.0,2020-01-27
尼泊尔,1.0,0.0,0.0,2020-01-27
泰国,7.0,2.0,0.0,2020-01-27
越南,2.0,0.0,0.0,2020-01-27
柬埔寨,1.0,0.0,0.0,2020-01-27
中国,80.0,80.0,0.0,2020-01-27
新加坡,5.0,0.0,0.0,2020-01-28
德国,1.0,0.0,0.0,2020-01-28
日本,7.0,1.0,0.0,2020-01-28
斯里兰卡,1.0,0.0,0.0,2020-01-28
泰国,14.0,5.0,0.0,2020-01-28
中国,91.0,91.0,0.0,2020-01-28
法国,4.0,0.0,0.0,2020-01-29
加拿大,3.0,0.0,0.0,2020-01-29
新加坡,10.0,0.0,0.0,2020-01-29
阿联酋,1.0,0.0,0.0,2020-01-29
德国,4.0,0.0,0.0,2020-01-29
马来西亚,7.0,0.0,0.0,2020-01-29
澳大利亚,7.0,0.0,0.0,2020-01-29
中国,111.0,111.0,0.0,2020-01-29
法国,5.0,0.0,0.0,2020-01-30
印度,1.0,0.0,0.0,2020-01-30
阿联酋,4.0,0.0,0.0,2020-01-30
日本,11.0,1.0,0.0,2020-01-30
芬兰,1.0,0.0,0.0,2020-01-30
马来西亚,8.0,0.0,0.0,2020-01-30
澳大利亚,8.0,2.0,0.0,2020-01-30
中国,32.0,32.0,0.0,2020-01-30
美国,6.0,0.0,0.0,2020-01-31
俄罗斯,2.0,0.0,0.0,2020-01-31
英国,2.0,0.0,0.0,2020-01-31
意大利,2.0,0.0,0.0,2020-01-31
新加坡,13.0,0.0,0.0,2020-01-31
德国,5.0,0.0,0.0,2020-01-31
日本,15.0,1.0,0.0,2020-01-31
韩国,11.0,0.0,0.0,2020-01-31
澳大利亚,9.0,2.0,0.0,2020-01-31
泰国,19.0,5.0,0.0,2020-01-31
中国,537.0,537.0,0.0,2020-01-31
美国,6.0,0.0,0.0,2020-02-01
俄罗斯,2.0,0.0,0.0,2020-02-01
英国,2.0,0.0,0.0,2020-02-01
意大利,2.0,0.0,0.0,2020-02-01
西班牙,7.0,0.0,0.0,2020-02-01
