国家,确诊,治愈,死亡,日期,累计确诊,现存确诊,累计治愈,累计死亡
美国,1831821,463868,106181,2020-06-03,6203736,3169503,2657707,376526
巴西,558237,240627,31309,2020-06-03,6203736,3169503,2657707,376526
俄罗斯,432277,195957,5215,2020-06-03,6203736,3169503,2657707,376526
英国,277985,539,39369,2020-06-03,6203736,3169503,2657707,376526
西班牙,239932,150376,27127,2020-06-03,6203736,3169503,2657707,376526
意大利,233515,160092,33530,2020-06-03,6203736,3169503,2657707,376526
德国,182370,167300,8551,2020-06-03,6203736,3169503,2657707,376526
秘鲁,174884,69257,4767,2020-06-03,6203736,3169503,2657707,376526
土耳其,165555,129921,4585,2020-06-03,6203736,3169503,2657707,376526
伊朗,160696,125206,8012,2020-06-03,6203736,3169503,2657707,376526
法国,151325,68812,28940,2020-06-03,6203736,3169503,2657707,376526
智利,108686,44946,1188,2020-06-03,6203736,3169503,2657707,376526
墨西哥,97326,70308,10637,2020-06-03,6203736,3169503,2657707,376526
加拿大,92410,50357,7395,2020-06-03,6203736,3169503,2657707,376526
沙特阿拉伯,91182,68159,579,2020-06-03,6203736,3169503,2657707,376526
中国,90363,85472,4689,2020-06-03,6203736,3169503,2657707,376526
巴基斯坦,80463,28923,1688,2020-06-03,6203736,3169503,2657707,376526
卡塔尔,62160,37542,45,2020-06-03,6203736,3169503,2657707,376526
比利时,58685,15959,9522,2020-06-03,6203736,3169503,2657707,376526
孟加拉国,55140,11590,746,2020-06-03,6203736,3169503,2657707,376526
荷兰,46733,11750,5977,2020-06-03,6203736,3169503,2657707,376526
白俄罗斯,44255,19195,243,2020-06-03,6203736,3169503,2657707,376526
厄瓜多尔,40414,4000,3438,2020-06-03,6203736,3169503,2657707,376526
瑞典,38589,4971,4468,2020-06-03,6203736,3169503,2657707,376526
新加坡,36405,22466,24,2020-06-03,6203736,3169503,2657707,376526
南非,35812,18313,755,2020-06-03,6203736,3169503,2657707,376526
阿联酋,35788,18726,269,2020-06-03,6203736,3169503,2657707,376526
葡萄牙,32895,19552,1436,2020-06-03,6203736,3169503,2657707,376526
哥伦比亚,31833,9661,1009,2020-06-03,6203736,3169503,2657707,376526
瑞士,30792,28445,1656,2020-06-03,6203736,3169503,2657707,376526
科威特,29359,15750,230,2020-06-03,6203736,3169503,2657707,376526
印度,28233,8406,1698,2020-06-03,6203736,3169503,2657707,376526
印度尼西亚,28233,8406,1698,2020-06-03,6203736,3169503,2657707,376526
埃及,27536,6827,1052,2020-06-03,6203736,3169503,2657707,376526
爱尔兰,25062,21060,1650,2020-06-03,6203736,3169503,2657707,376526
波兰,24395,11726,1092,2020-06-03,6203736,3169503,2657707,376526
乌克兰,24340,7575,727,2020-06-03,6203736,3169503,2657707,376526
菲律宾,19748,4153,974,2020-06-03,6203736,3169503,2657707,376526
罗马尼亚,19517,13526,1279,2020-06-03,6203736,3169503,2657707,376526
阿根廷,18319,4617,569,2020-06-03,6203736,3169503,2657707,376526
多米尼加,17572,993,502,2020-06-03,6203736,3169503,2657707,376526
以色列,17342,14955,290,2020-06-03,6203736,3169503,2657707,376526
日本,17000,14406,901,2020-06-03,6203736,3169503,2657707,376526
奥地利,16663,14951,668,2020-06-03,6203736,3169503,2657707,376526
阿富汗,16509,1450,270,2020-06-03,6203736,3169503,2657707,376526
巴拿马,13837,455,344,2020-06-03,6203736,3169503,2657707,376526
阿曼,13538,2845,67,2020-06-03,6203736,3169503,2657707,376526
塞尔维亚,12497,7527,274,2020-06-03,6203736,3169503,2657707,376526
巴林,12229,7397,19,2020-06-03,6203736,3169503,2657707,376526
丹麦,11734,9643,580,2020-06-03,6203736,3169503,2657707,376526
哈萨克斯坦,11571,4214,41,2020-06-03,6203736,3169503,2657707,376526
韩国,11541,10446,272,2020-06-03,6203736,3169503,2657707,376526
尼日利亚,10819,3239,314,2020-06-03,6203736,3169503,2657707,376526
亚美尼亚,10524,3454,170,2020-06-03,6203736,3169503,2657707,376526
玻利维亚,9982,159,313,2020-06-03,6203736,3169503,2657707,376526
阿尔及利亚,9626,6067,667,2020-06-03,6203736,3169503,2657707,376526
捷克,9334,6681,323,2020-06-03,6203736,3169503,2657707,376526
挪威,8440,7999,236,2020-06-03,6203736,3169503,2657707,376526
摩尔多瓦,8360,4455,307,2020-06-03,6203736,3169503,2657707,376526
加纳,8297,2986,38,2020-06-03,6203736,3169503,2657707,376526
马来西亚,7970,6531,115,2020-06-03,6203736,3169503,2657707,376526
摩洛哥,7833,5893,205,2020-06-03,6203736,3169503,2657707,376526
伊拉克,7387,3508,235,2020-06-03,6203736,3169503,2657707,376526
澳大利亚,7229,6640,102,2020-06-03,6203736,3169503,2657707,376526
芬兰,6885,4800,320,2020-06-03,6203736,3169503,2657707,376526
喀麦隆,6397,1996,199,2020-06-03,6203736,3169503,2657707,376526
阿塞拜疆,5935,3564,71,2020-06-03,6203736,3169503,2657707,376526
苏丹,5310,1625,307,2020-06-03,6203736,3169503,2657707,376526
洪都拉斯,5202,0,212,2020-06-03,6203736,3169503,2657707,376526
危地马拉,5087,0,108,2020-06-03,6203736,3169503,2657707,376526
卢森堡,4019,3789,110,2020-06-03,6203736,3169503,2657707,376526
塔吉克斯坦,4013,1223,47,2020-06-03,6203736,3169503,2657707,376526
塞内加尔,3932,2063,45,2020-06-03,6203736,3169503,2657707,376526
匈牙利,3931,2190,534,2020-06-03,6203736,3169503,2657707,376526
几内亚,3886,2267,23,2020-06-03,6203736,3169503,2657707,376526
波多黎各,3873,0,136,2020-06-03,6203736,3169503,2657707,376526
吉布提,3779,1607,25,2020-06-03,6203736,3169503,2657707,376526
乌兹别克斯坦,3718,2636,15,2020-06-03,6203736,3169503,2657707,376526
刚果（金）,3325,482,72,2020-06-03,6203736,3169503,2657707,376526
泰国,3083,2945,58,2020-06-03,6203736,3169503,2657707,376526
科特迪瓦,2951,1348,33,2020-06-03,6203736,3169503,2657707,376526
希腊,2917,1473,175,2020-06-03,6203736,3169503,2657707,376526
加蓬,2803,779,20,2020-06-03,6203736,3169503,2657707,376526
萨尔瓦多,2582,0,46,2020-06-03,6203736,3169503,2657707,376526
波黑,2523,1696,153,2020-06-03,6203736,3169503,2657707,376526
保加利亚,2513,727,144,2020-06-03,6203736,3169503,2657707,376526
北马其顿,2391,1595,141,2020-06-03,6203736,3169503,2657707,376526
尼泊尔,2300,278,9,2020-06-03,6203736,3169503,2657707,376526
克罗地亚,2246,2027,103,2020-06-03,6203736,3169503,2657707,376526
海地,2124,0,44,2020-06-03,6203736,3169503,2657707,376526
肯尼亚,2093,499,71,2020-06-03,6203736,3169503,2657707,376526
索马里,2089,380,79,2020-06-03,6203736,3169503,2657707,376526
古巴,2083,525,83,2020-06-03,6203736,3169503,2657707,376526
马约特,1934,0,24,2020-06-03,6203736,3169503,2657707,376526
爱沙尼亚,1870,1275,68,2020-06-03,6203736,3169503,2657707,376526
吉尔吉斯斯坦,1845,980,17,2020-06-03,6203736,3169503,2657707,376526
马尔代夫,1829,488,6,2020-06-03,6203736,3169503,2657707,376526
冰岛,1806,1755,10,2020-06-03,6203736,3169503,2657707,376526
斯里兰卡,1683,823,11,2020-06-03,6203736,3169503,2657707,376526
立陶宛,1678,1049,70,2020-06-03,6203736,3169503,2657707,376526
斯洛伐克,1522,1368,28,2020-06-03,6203736,3169503,2657707,376526
委内瑞拉,1510,0,14,2020-06-03,6203736,3169503,2657707,376526
斯洛文尼亚,1509,1335,108,2020-06-03,6203736,3169503,2657707,376526
马里,1351,769,78,2020-06-03,6203736,3169503,2657707,376526
埃塞俄比亚,1344,231,14,2020-06-03,6203736,3169503,2657707,376526
几内亚比绍,1339,42,8,2020-06-03,6203736,3169503,2657707,376526
南苏丹,1317,6,14,2020-06-03,6203736,3169503,2657707,376526
黎巴嫩,1233,712,27,2020-06-03,6203736,3169503,2657707,376526
中非共和国,1173,23,4,2020-06-03,6203736,3169503,2657707,376526
阿尔巴尼亚,1164,714,33,2020-06-03,6203736,3169503,2657707,376526
新西兰,1154,1347,22,2020-06-03,6203736,3169503,2657707,376526
赞比亚共和国,1089,779,7,2020-06-03,6203736,3169503,2657707,376526
突尼斯,1084,964,48,2020-06-03,6203736,3169503,2657707,376526
拉脱维亚,1071,464,24,2020-06-03,6203736,3169503,2657707,376526
哥斯达黎加,1056,0,10,2020-06-03,6203736,3169503,2657707,376526
赤道几内亚,1043,165,12,2020-06-03,6203736,3169503,2657707,376526
巴拉圭,995,198,11,2020-06-03,6203736,3169503,2657707,376526
尼日尔,958,734,64,2020-06-03,6203736,3169503,2657707,376526
塞浦路斯,949,504,26,2020-06-03,6203736,3169503,2657707,376526
尼加拉瓜,885,0,35,2020-06-03,6203736,3169503,2657707,376526
布基纳法索,883,655,53,2020-06-03,6203736,3169503,2657707,376526
塞拉利昂,865,205,46,2020-06-03,6203736,3169503,2657707,376526
马达加斯加,826,165,6,2020-06-03,6203736,3169503,2657707,376526
乌拉圭,823,654,22,2020-06-03,6203736,3169503,2657707,376526
格鲁吉亚,796,634,12,2020-06-03,6203736,3169503,2657707,376526
乍得,790,0,66,2020-06-03,6203736,3169503,2657707,376526
安道尔,765,472,51,2020-06-03,6203736,3169503,2657707,376526
约旦,746,457,9,2020-06-03,6203736,3169503,2657707,376526
钻石公主号邮轮,712,574,13,2020-06-03,6203736,3169503,2657707,376526
圣马力诺,687,2,42,2020-06-03,6203736,3169503,2657707,376526
毛里塔尼亚,668,55,31,2020-06-03,6203736,3169503,2657707,376526
巴勒斯坦,628,346,5,2020-06-03,6203736,3169503,2657707,376526
马耳他,619,367,9,2020-06-03,6203736,3169503,2657707,376526
刚果（布）,611,179,20,2020-06-03,6203736,3169503,2657707,376526
牙买加,581,0,9,2020-06-03,6203736,3169503,2657707,376526
坦桑尼亚,509,167,21,2020-06-03,6203736,3169503,2657707,376526
圭亚那,499,27,12,2020-06-03,6203736,3169503,2657707,376526
法属圭亚那,499,0,1,2020-06-03,6203736,3169503,2657707,376526
乌干达,489,79,0,2020-06-03,6203736,3169503,2657707,376526
留尼旺,473,0,1,2020-06-03,6203736,3169503,2657707,376526
佛得角,458,44,4,2020-06-03,6203736,3169503,2657707,376526
圣多美和普林西比,458,68,12,2020-06-03,6203736,3169503,2657707,376526
多哥,443,107,13,2020-06-03,6203736,3169503,2657707,376526
也门共和国,403,18,87,2020-06-03,6203736,3169503,2657707,376526
卢旺达,377,178,1,2020-06-03,6203736,3169503,2657707,376526
贝宁,339,62,3,2020-06-03,6203736,3169503,2657707,376526
马恩岛,336,0,24,2020-06-03,6203736,3169503,2657707,376526
马拉维,336,42,4,2020-06-03,6203736,3169503,2657707,376526
毛里求斯,335,322,10,2020-06-03,6203736,3169503,2657707,376526
越南,328,267,0,2020-06-03,6203736,3169503,2657707,376526
黑山,324,315,9,2020-06-03,6203736,3169503,2657707,376526
泽西岛,308,0,29,2020-06-03,6203736,3169503,2657707,376526
莫桑比克,307,98,2,2020-06-03,6203736,3169503,2657707,376526
利比里亚,296,85,27,2020-06-03,6203736,3169503,2657707,376526
斯威士兰,293,13,3,2020-06-03,6203736,3169503,2657707,376526
根西岛,252,0,13,2020-06-03,6203736,3169503,2657707,376526
缅甸,228,130,6,2020-06-03,6203736,3169503,2657707,376526
马提尼克,200,0,14,2020-06-03,6203736,3169503,2657707,376526
法罗群岛,187,0,0,2020-06-03,6203736,3169503,2657707,376526
蒙古,185,24,0,2020-06-03,6203736,3169503,2657707,376526
津巴布韦,178,28,4,2020-06-03,6203736,3169503,2657707,376526
直布罗陀,170,0,1,2020-06-03,6203736,3169503,2657707,376526
利比亚,168,75,5,2020-06-03,6203736,3169503,2657707,376526
关岛,167,0,5,2020-06-03,6203736,3169503,2657707,376526
瓜德罗普岛,162,0,14,2020-06-03,6203736,3169503,2657707,376526
文莱,141,131,2,2020-06-03,6203736,3169503,2657707,376526
开曼群岛,141,0,2,2020-06-03,6203736,3169503,2657707,376526
百慕大,140,0,9,2020-06-03,6203736,3169503,2657707,376526
柬埔寨,125,122,0,2020-06-03,6203736,3169503,2657707,376526
叙利亚,123,41,5,2020-06-03,6203736,3169503,2657707,376526
特立尼达和多巴哥,117,0,8,2020-06-03,6203736,3169503,2657707,376526
巴哈马,102,0,11,2020-06-03,6203736,3169503,2657707,376526
